"","Post_Ques","Post_Ans","Average_Severity"
"9041","hahaha  i think i should ship you to my house or i could just stay over there with you ","haha  one or the other works p although  i have film school in september  plus my own place so you can be freeeeeee  i vote you come here instead  lol plus brighton is great for young people  so lots of younger cool vintage shops to find things in  i want to style you now lol",0
"9042","hahaha i barely escaped the shops with my life i just dont like to shop p but you do maybe you can be my personal shopper person ","i would love to i love dressing people up and putting outfits together totally come to england and youre mineeeeeeeee quotmwah ha ha ha haquot ",0
"9043","hahaha i love the way you think  and staying in america is fine with me  i havent been thereplus walks on the beach at sunset and staying in and the beach sounds perfect to me how long shall we stay on this lovely vaction ","hmmm  how about  weeks  weeks in hot  and  weeks in cold and the rest of the  weeks in bed  hahahaha p",0
"9044","hahaha lol will have it in mind is it true you british youth drink it straight from the bottle on this side of the pond we mix it with some juice sometimes","well  it depends on where im going  if im going out  then i tend to drink probably a little too much straight  to get me quotin the moodquot then i dont need to drink so much when im out otherwise  if im at home or something  i usually mix i with something and make a cocktail  basically  depends on how drunk you want to get lol normally yes to answer your question in a short sentence but it may just be personally ",0
"9045","hahaha well neither have i hmm idk i might bite my bottom lip supposedly thats sexy  idk im not surewell youll just have to wait and see haha  p","i should be holding you to that then p",1
"9046","hahaha i want currently the blue rav haha well originally i wanted it in red  but my dad said that if he is getting me a carhe wont get me a red carso metallic blue came second p freaky","haha the light blue one yeahhhhh  thats the cooooool one p  good girl  lol",0
"9047","hahahaha awwwwww i miss you too wishing you were here  we would be having such a good time  anyway we wont get to chat tonightso check out my pictures on facebooklove you","i wish i was there too wish me over pleaseeeee  i shall bringummmall the snails you can eat nice and fresh  haha love you toooooo  oh  and link me up with the photos  i cant find them ",0
"9048","hahahahahahaha would you pick me up from the train station uuu","i wont have a car ",0
"9049","haiiiiii","ti",0
"9050","hand cuffs or ropes","hand cuffs  as long as they arent too tight  ropes burn s",0
"9051","happiness  right now  on a scale of  being the least to  being the highest","hmmmm  well if you mean literally now im not thinking about much  which means im quite content  now that im talking to you   how about yourself d",0
